Jun-25,06-25,Deuteronomy 30,Psalms 119:73-96,Isaiah 57,Matthew 5
Jun-26,06-26,Deuteronomy 31,Psalms 119:97-120,Isaiah 58,Matthew 6
Jun-27,06-27,Deuteronomy 32,Psalms 119:121-144,Isaiah 59,Matthew 7
Jun-28,06-28,Deuteronomy 33-34,Psalms 119:145-176,Isaiah 60,Matthew 8
Jun-29,06-29,Joshua 1,Psalms 120-122,Isaiah 61,Matthew 9
Jun-30,06-30,Joshua 2,Psalms 123-125,Isaiah 62,Matthew 10
Jul-1,07-01,Joshua 3,Psalms 126-128,Isaiah 63,Matthew 11
Jul-2,07-02,Joshua 4,Psalms 129-131,Isaiah 64,Matthew 12
Jul-3,07-03,Joshua 5:1-6:5,Psalms 132-134,Isaiah 65,Matthew 13
Jul-4,07-04,Joshua 6:6-27,Psalms 135-136,Isaiah 66,Matthew 14
Jul-5,07-05,Joshua 7,Psalms 137-138,Jeremiah 1,Matthew 15
Jul-6,07-06,Joshua 8,Psalms 139,Jeremiah 2,Matthew 16
Jul-7,07-07,Joshua 9,Psalms 140-141,Jeremiah 3,Matthew 17
Jul-8,07-08,Joshua 10,Psalms 142-143,Jeremiah 4,Matthew 18
Jul-9,07-09,Joshua 11,Psalms 144,Jeremiah 5,Matthew 19
Jul-10,07-10,Joshua 12-13,Psalms 145,Jeremiah 6,Matthew 20
Jul-11,07-11,Joshua 14-15,Psalms 146-147,Jeremiah 7,Matthew 21
Jul-12,07-12,Joshua 16-17,Psalms 148,Jeremiah 8,Matthew 22
Jul-13,07-13,Joshua 18-19,Psalms 149-150,Jeremiah 9,Matthew 23
Jul-14,07-14,Joshua 20-21,Acts 1,Jeremiah 10,Matthew 24
Jul-15,07-15,Joshua 22,Acts 2,Jeremiah 11,Matthew 25
Jul-16,07-16,Joshua 23,Acts 3,Jeremiah 12,Matthew 26
Jul-17,07-17,Joshua 24,Acts 4,Jeremiah 13,Matthew 27
Jul-18,07-18,Judges 1,Acts 5,Jeremiah 14,Matthew 28
Jul-19,07-19,Judges 2,Acts 6,Jeremiah 15,Mark 1
Jul-20,07-20,Judges 3,Acts 7,Jeremiah 16,Mark 2
Jul-21,07-21,Judges 4,Acts 8,Jeremiah 17,Mark 3
Jul-22,07-22,Judges 5,Acts 9,Jeremiah 18,Mark 4
Jul-23,07-23,Judges 6,Acts 10,Jeremiah 19,Mark 5
Jul-24,07-24,Judges 7,Acts 11,Jeremiah 20,Mark 6
Jul-25,07-25,Judges 8,Acts 12,Jeremiah 21,Mark 7
Jul-26,07-26,Judges 9,Acts 13,Jeremiah 22,Mark 8
Jul-27,07-27,Judges 10:1-11:11,Acts 14,Jeremiah 23,Mark 9
Jul-28,07-28,Judges 11:12-40,Acts 15,Jeremiah 24,Mark 10
Jul-29,07-29,Judges 12,Acts 16,Jeremiah 25,Mark 11
Jul-30,07-30,Judges 13,Acts 17,Jeremiah 26,Mark 12
Jul-31,07-31,Judges 14,Acts 18,Jeremiah 27,Mark 13
Aug-1,08-01,Judges 15,Acts 19,Jeremiah 28,Mark 14
Aug-2,08-02,Judges 16,Acts 20,Jeremiah 29,Mark 15
Aug-3,08-03,Judges 17,Acts 21,Jeremiah 30-31,Mark 16
Aug-4,08-04,Judges 18,Acts 22,Jeremiah 32,Psalms 1-2
Aug-5,08-05,Judges 19,Acts 23,Jeremiah 33,Psalms 3-4
Aug-6,08-06,Judges 20,Acts 24,Jeremiah 34,Psalms 5-6
Aug-7,08-07,Judges 21,Acts 25,Jeremiah 35,Psalms 7-8
Aug-8,08-08,Ruth 1,Acts 26,"Jeremiah 36,45",Psalms 9
Aug-9,08-09,Ruth 2,Acts 27,Jeremiah 37,Psalms 10
Aug-10,08-10,Ruth 3-4,Acts 28,Jeremiah 38,Psalms 11-12
Aug-11,08-11,1 Samuel 1,Romans 1,Jeremiah 39,Psalms 13-14
Aug-12,08-12,1 Samuel 2,Romans 2,Jeremiah 40,Psalms 15-16
Aug-13,08-13,1 Samuel 3,Romans 3,Jeremiah 41,Psalms 17
Aug-14,08-14,1 Samuel 4,Romans 4,Jeremiah 42,Psalms 18
Aug-15,08-15,1 Samuel 5-6,Romans 5,Jeremiah 43,Psalms 19
Aug-16,08-16,1 Samuel 7-8,Romans 6,Jeremiah 44,Psalms 20-21
Aug-17,08-17,1 Samuel 9,Romans 7,Jeremiah 46,Psalms 22
Aug-18,08-18,1 Samuel 10,Romans 8,Jeremiah 47,Psalms 23-24
Aug-19,08-19,1 Samuel 11,Romans 9,Jeremiah 48,Psalms 25
Aug-20,08-20,1 Samuel 12,Romans 10,Jeremiah 49,Psalms 26-27
Aug-21,08-21,1 Samuel 13,Romans 11,Jeremiah 50,Psalms 28-29
Aug-22,08-22,1 Samuel 14,Romans 12,Jeremiah 51,Psalms 30
Aug-23,08-23,1 Samuel 15,Romans 13,Jeremiah 52,Psalms 31
Aug-24,08-24,1 Samuel 16,Romans 14,Lamentations 1,Psalms 32
Aug-25,08-25,1 Samuel 17,Romans 15,Lamentations 2,Psalms 33
Aug-26,08-26,1 Samuel 18,Romans 16,Lamentations 3,Psalms 34
Aug-27,08-27,1 Samuel 19,1 Corinthians 1,Lamentations 4,Psalms 35
Aug-28,08-28,1 Samuel 20,1 Corinthians 2,Lamentations 5,Psalms 36
Aug-29,08-29,1 Samuel 21-22,1 Corinthians 3,Ezekiel 1,Psalms 37
Aug-30,08-30,1 Samuel 23,1 Corinthians 4,Ezekiel 2,Psalms 38
Aug-31,08-31,1 Samuel 24,1 Corinthians 5,Ezekiel 3,Psalms 39
Sep-1,09-01,1 Samuel 25,1 Corinthians 6,Ezekiel 4,Psalms 40-41
Sep-2,09-02,1 Samuel 26,1 Corinthians 7,Ezekiel 5,Psalms 42-43
Sep-3,09-03,1 Samuel 27,1 Corinthians 8,Ezekiel 6,Psalms 44
